id,spanish,example_es,example_en,mood,tense
1,el ejército,El ejército defendió la frontera durante la guerra.,The army defended the border during the war.,,
2,el aviso,Leí el aviso en la puerta de la oficina.,I read the notice on the office door.,,
3,egoísta,Mi hermano es muy egoísta y nunca comparte su comida.,My brother is very selfish and never shares his food.,,
4,inolvidable,Nuestro viaje a México fue una experiencia inolvidable.,Our trip to Mexico was an unforgettable experience.,,
5,la cancha,Los niños juegan al básquetbol en la cancha del parque.,The kids play basketball on the court at the park.,,
6,vencer,Nosotros vencemos a nuestros rivales en cada torneo.,We defeat our rivals in every tournament.,Indicativo,Presente
7,faltar,Nos faltan dos jugadores para completar el equipo.,We're missing two players to complete the team.,Indicativo,Presente
8,emocionante,La película tuvo un final muy emocionante.,The movie had a very exciting ending.,,
9,la juventud,Pasó su juventud viajando por Europa.,He spent his youth traveling around Europe.,,
10,la ciencia,Ella estudia ciencia en la universidad.,She studies science at the university.,,
11,ansioso,Estoy ansioso por los resultados del examen.,I'm anxious about the exam results.,,
12,diseñar,Diseño camisetas para una marca local.,I design t-shirts for a local brand.,Indicativo,Presente
13,encantado,Estoy encantado de conocerte por fin.,I'm delighted to finally meet you.,,
14,borrar,Borras el historial del navegador cada semana.,You delete your browser history every week.,Indicativo,Presente
15,prohibir,La ley prohíbe fumar en los restaurantes.,The law prohibits smoking in restaurants.,Indicativo,Presente
16,la asignatura,Mi asignatura favorita es la historia.,My favorite subject is history.,,
17,orgulloso,Estamos muy orgullosos de tu graduación.,We are very proud of your graduation.,,
18,estrecho,La calle es demasiado estrecha para dos coches.,The street is too narrow for two cars.,,
19,denunciar,Denuncio cualquier tipo de acoso en mi trabajo.,I report any type of harassment at my job.,Indicativo,Presente
20,renunciar,Renuncio a mi puesto la próxima semana.,I'm resigning from my position next week.,Indicativo,Presente
21,sonreír,Ella sonríe cada vez que ve a su perro.,She smiles every time she sees her dog.,Indicativo,Presente
22,la paciencia,Se necesita mucha paciencia para enseñar a niños pequeños.,It takes a lot of patience to teach small children.,,
23,hacia,Caminamos hacia el centro de la ciudad.,We walked toward downtown.,,
24,débil,El paciente todavía se siente muy débil.,The patient still feels very weak.,,
25,la bandera,Izaron la bandera durante la ceremonia.,They raised the flag during the ceremony.,,
26,la respuesta,No sé la respuesta correcta a esa pregunta.,I don't know the correct answer to that question.,,
27,el ciudadano,Todo ciudadano tiene derecho a votar.,Every citizen has the right to vote.,,
28,favorito,El azul es mi color favorito.,Blue is my favorite color.,,
29,hacer cola,Hacemos cola todos los sábados para comprar pan fresco.,We get in line every Saturday to buy fresh bread.,Indicativo,Presente
30,el suceso,El periódico informó sobre el extraño suceso.,The newspaper reported on the strange event.,,
31,la calidad,Esta tienda vende ropa de muy buena calidad.,This store sells very good quality clothing.,,
32,aconsejar,El médico me aconseja dormir más.,The doctor advises me to sleep more.,Indicativo,Presente
33,votar,Voto en cada elección presidencial.,I vote in every presidential election.,Indicativo,Presente
34,extranjero,Trabaja para una empresa extranjera.,She works for a foreign company.,,
35,ambicioso,Es un político muy ambicioso que quiere más poder.,He is a very ambitious/greedy politician who wants more power.,,
36,enorme,Compraron una casa enorme en las afueras.,They bought an enormous house in the suburbs.,,
37,sudar,Sudo mucho cuando hago ejercicio.,I sweat a lot when I exercise.,Indicativo,Presente
38,perjudicar,Fumar perjudica seriamente la salud.,Smoking seriously harms your health.,Indicativo,Presente
39,aguantar,Aguanto el tráfico todos los días para llegar a tiempo.,I put up with the traffic every day to arrive on time.,Indicativo,Presente
40,culpable,El jurado lo declaró culpable del crimen.,The jury found him guilty of the crime.,,
41,próximo,Nos vemos la próxima semana.,See you next week.,,
42,agotar,Esta rutina me agota completamente.,This routine exhausts me completely.,Indicativo,Presente
43,útil,Este diccionario es muy útil para mis estudios.,This dictionary is very useful for my studies.,,
44,la risa,Se escuchaba la risa de los niños en el patio.,The children's laughter could be heard in the yard.,,
45,anciano,Ayudé a un señor anciano a cruzar la calle.,I helped an elderly man cross the street.,,
46,proponer,Propongo una solución diferente para este problema.,I propose a different solution for this problem.,Indicativo,Presente
47,la grasa,Esta comida tiene demasiada grasa.,This food has too much fat.,,
48,valorar,Valoramos mucho tu esfuerzo en este proyecto.,We really value your effort on this project.,Indicativo,Presente
49,el hogar,"Después de tantos viajes, extraño mi hogar.","After so much travel, I miss my home.",,
50,el empresario,El empresario abrió tres tiendas nuevas este año.,The businessman opened three new stores this year.,,
51,la carrera,Ella ganó la carrera de cien metros.,She won the hundred-meter race.,,
52,la huésped,La huésped llegó al hotel muy tarde por la noche.,The guest arrived at the hotel very late at night.,,
53,reconocer,Reconozco que me equivoqué.,I recognize/admit that I was wrong.,Indicativo,Presente
54,el diccionario,Busqué la palabra en el diccionario.,I looked up the word in the dictionary.,,
55,acordarse,No me acuerdo de su nombre.,I don't remember his name.,Indicativo,Presente
56,el nacimiento,Celebramos el nacimiento de su primer hijo.,We celebrated the birth of their first child.,,
57,rápido,Ese coche es muy rápido.,That car is very fast.,,
58,respirar,Respira profundamente antes de hablar en público.,Breathe deeply before speaking in public.,,
59,el servicio,El servicio en ese restaurante fue excelente.,The service at that restaurant was excellent.,,
60,descargar,Descargo música para escuchar sin internet.,I download music to listen to without internet.,Indicativo,Presente
61,el calor,No soporto el calor en agosto.,I can't stand the heat in August.,,
62,el patrimonio,Este castillo es parte del patrimonio cultural del país.,This castle is part of the country's cultural heritage.,,
63,levantar,Levanto la mano para hacer una pregunta.,I raise my hand to ask a question.,Indicativo,Presente
64,pelearse,Mis hermanos se pelean por el control remoto.,My siblings fight over the remote control.,Indicativo,Presente
65,el género,El formulario pregunta por el género del solicitante.,The form asks for the applicant's gender.,,
66,soleado,Hoy es un día soleado y perfecto para la playa.,"Today is a sunny day, perfect for the beach.",,
67,el robo,Hubo un robo en el banco esta mañana.,There was a robbery at the bank this morning.,,
68,engordar,Engordo si dejo de hacer ejercicio.,I gain weight if I stop exercising.,Indicativo,Presente
69,familia,Mi familia se reúne todos los domingos.,My family gets together every Sunday.,,
70,pelear,Los perros pelean por el hueso.,The dogs fight over the bone.,Indicativo,Presente
71,la muerte,La muerte de su abuelo lo afectó mucho.,His grandfather's death affected him deeply.,,
72,mentir,Él nunca miente a sus amigos.,He never lies to his friends.,Indicativo,Presente
73,salvaje,Vimos animales salvajes durante el safari.,We saw wild animals during the safari.,,
74,el perfil,Actualicé mi perfil en la red social.,I updated my profile on the social network.,,
75,la mayoria,La mayoría de los estudiantes aprobó el examen.,The majority of the students passed the exam.,,
76,el sueño,Su sueño es viajar por todo el mundo.,Her dream is to travel around the whole world.,,
77,la temporada,La temporada de lluvias empieza en junio.,Rainy season starts in June.,,
78,la contabilidad,Estudia contabilidad para ser contador.,He studies accounting to become an accountant.,,
79,el bienestar,Hacer ejercicio mejora tu bienestar general.,Exercising improves your overall well-being.,,
80,el técnico,El técnico reparó la lavadora en una hora.,The technician fixed the washing machine in an hour.,,
81,componer,Las vocales y consonantes componen el alfabeto.,Vowels and consonants make up the alphabet.,Indicativo,Presente
82,producir,Esta fábrica produce miles de autos al año.,This factory produces thousands of cars a year.,Indicativo,Presente
83,el guion,El actor memorizó todo el guion en dos días.,The actor memorized the whole script in two days.,,
84,leal,Mi perro es muy leal a mí.,My dog is very loyal to me.,,
85,levantar pesas,Levanto pesas tres veces por semana en el gimnasio.,I lift weights three times a week at the gym.,Indicativo,Presente
86,sugerir,Te sugiero que llegues temprano.,I suggest you arrive early.,Indicativo,Presente
87,la ruta,Cambiamos la ruta para evitar el tráfico.,We changed the route to avoid traffic.,,
88,el síntoma,La fiebre es un síntoma común de la gripe.,Fever is a common symptom of the flu.,,
89,la marca,Esa marca de zapatos es muy popular entre los jóvenes.,That shoe brand is very popular among young people.,,
90,el relato,El escritor publicó un relato corto sobre su infancia.,The writer published a short story about his childhood.,,
91,el ensayo,Tengo que entregar un ensayo de cinco páginas.,I have to turn in a five-page essay.,,
92,invertir,Invierto una parte de mi sueldo cada mes.,I invest a part of my salary every month.,Indicativo,Presente
93,activo,Mi abuela sigue muy activa a los ochenta años.,My grandmother is still very active at eighty.,,
94,el discurso,El presidente dio un discurso emotivo.,The president gave an emotional speech.,,
95,la alegría,La noticia le trajo mucha alegría a la familia.,The news brought great joy to the family.,,
96,el almacén,Guardamos las cajas en el almacén.,We store the boxes in the warehouse.,,
97,el folleto,Recogí un folleto con información turística.,I picked up a brochure with tourist information.,,
98,enojarse,Mi madre se enoja si llegamos tarde.,My mother gets angry if we arrive late.,Indicativo,Presente
99,el impuesto,Pagamos impuestos sobre nuestro salario cada mes.,We pay taxes on our salary every month.,,
100,tener prisa,"No puedo hablar ahora, tengo mucha prisa.","I can't talk right now, I'm in a big hurry.",Indicativo,Presente
101,oscuro,La habitación estaba muy oscura sin luz.,The room was very dark without light.,,
102,el vecino,Mi vecino siempre riega las plantas del jardín.,My neighbor always waters the garden plants.,,
103,la medida,Tomé la medida de la ventana antes de comprar las cortinas.,I took the window's measurement before buying the curtains.,,
104,aburrirse,Los niños se aburren si no tienen nada que hacer.,The kids get bored if they have nothing to do.,Indicativo,Presente
105,adónde,¿Adónde vas con tanta prisa?,Where are you going in such a hurry?,,
106,graduarse,Me gradúo el próximo semestre.,I'm graduating next semester.,Indicativo,Presente
107,sincero,Aprecio que seas tan sincero conmigo.,I appreciate that you're so sincere with me.,,
108,siguiente,"Por favor, pase al siguiente cliente.","Please, move on to the next customer.",,
109,la época,Esa canción me recuerda a mi época de estudiante.,That song reminds me of my student days.,,
110,sensible,Es un tema muy sensible para ella.,It's a very sensitive topic for her.,,
111,el origen,El origen de esta tradición es muy antiguo.,The origin of this tradition is very old.,,
112,el compromiso,Anunciaron su compromiso en la fiesta.,They announced their engagement at the party.,,
113,entrevistar,El periodista entrevista a políticos cada semana.,The journalist interviews politicians every week.,Indicativo,Presente
114,apretado,Estos zapatos me quedan muy apretados.,These shoes are too tight on me.,,
115,disminuir,Las ventas disminuyen en enero.,Sales decrease in January.,Indicativo,Presente
116,la pesadilla,Me desperté asustado después de una pesadilla.,I woke up scared after a nightmare.,,
117,normalmente,Normalmente ceno a las ocho de la noche.,I normally have dinner at eight at night.,,
118,la serie,Estamos viendo una nueva serie en la televisión.,We are watching a new series on television.,,
119,el cuento,Mi abuela me leía un cuento cada noche.,My grandmother read me a story every night.,,
120,cariñoso,Mi abuelo siempre fue muy cariñoso con nosotros.,My grandfather was always very affectionate with us.,,
121,esconder,Escondo los regalos en el armario.,I hide the gifts in the closet.,Indicativo,Presente
122,frecuentemente,Viajamos a Madrid frecuentemente por trabajo.,We travel to Madrid frequently for work.,,
123,sabio,Mi abuela siempre da consejos sabios.,My grandmother always gives wise advice.,,
124,el consejero,El consejero escolar me ayudó a elegir mis clases.,The school counselor helped me choose my classes.,,
125,la competencia,Hay mucha competencia entre estas dos empresas.,There is a lot of competition between these two companies.,,
126,el aire,Abramos la ventana para que entre aire fresco.,Let's open the window so fresh air comes in.,,
127,atraer,El museo atrae a miles de turistas cada año.,The museum attracts thousands of tourists every year.,Indicativo,Presente
128,el descuento,Compré la chaqueta con un descuento del veinte por ciento.,I bought the jacket with a twenty percent discount.,,
129,apreciar,Aprecio mucho tu ayuda con la mudanza.,I really appreciate your help with the move.,Indicativo,Presente
130,comprensivo,Mi jefe fue muy comprensivo cuando falté al trabajo.,My boss was very understanding when I missed work.,,
131,el pariente,Tengo parientes en Argentina que nunca he conocido.,I have relatives in Argentina I've never met.,,
132,alegrarse,Me alegro mucho de que hayas venido.,I'm very happy that you came.,Indicativo,Presente
133,el informe,Tengo que terminar el informe antes del viernes.,I have to finish the report before Friday.,,
134,la administración de empresas,Ella estudia administración de empresas en la universidad.,She studies business administration at the university.,,
135,obedecer,El perro obedece todas las órdenes de su dueño.,The dog obeys all of its owner's commands.,Indicativo,Presente
136,la soledad,"Después de la mudanza, sintió mucha soledad.","After the move, he felt a lot of loneliness.",,
137,agradable,Pasamos una tarde muy agradable en el parque.,We had a very nice afternoon at the park.,,
138,el movimiento,Detecté un movimiento extraño detrás de la puerta.,I detected a strange movement behind the door.,,
139,sembrar,En primavera sembramos tomates en el jardín.,In spring we plant tomatoes in the garden.,Indicativo,Presente
140,derramar,Siempre derramo el café por las mañanas.,I always spill the coffee in the mornings.,Indicativo,Presente
141,el argumento,No entendí el argumento principal de la película.,I didn't understand the movie's main plot/argument.,,
142,el comercio,El comercio entre los dos países creció mucho.,Trade between the two countries grew a lot.,,
143,tener hambre,"Tengo mucha hambre, ¿ya es hora de comer?","I'm very hungry, is it time to eat yet?",Indicativo,Presente
144,la química,La química es mi materia más difícil.,Chemistry is my hardest subject.,,
145,la ventanilla,Compré el boleto en la ventanilla de la estación.,I bought the ticket at the station window.,,
146,interpretar,El actor interpreta al villano en la nueva película.,The actor plays the villain in the new movie.,Indicativo,Presente
147,la Tierra,La Tierra gira alrededor del sol.,The Earth revolves around the sun.,,
148,el alquiler,El alquiler del apartamento subió este mes.,The apartment's rent went up this month.,,
149,prevenir,Lavarse las manos ayuda a prevenir enfermedades.,Washing your hands helps prevent illness.,Indicativo,Presente
150,duro,Fue un año muy duro para toda la familia.,It was a very hard year for the whole family.,,
151,el compañero de clase,Mi compañero de clase me prestó sus apuntes.,My classmate lent me his notes.,,
152,el racismo,La escuela organizó una charla sobre el racismo.,The school organized a talk about racism.,,
153,la razón,No entiendo la razón de su enojo.,I don't understand the reason for his anger.,,
154,el accidente,Hubo un accidente de tráfico en la autopista.,There was a traffic accident on the highway.,,
155,el aniversario,Celebramos nuestro décimo aniversario de bodas.,We celebrated our tenth wedding anniversary.,,
156,doblar,Doblo a la izquierda para llegar antes.,I turn left to arrive sooner.,Indicativo,Presente
