id,spanish,example_es,example_en,mood,tense
1,el ejército,El ejército defendió la frontera durante la guerra.,The army defended the border during the war.,,
2,el aviso,Leí el aviso en la puerta de la oficina.,I read the notice on the office door.,,
3,egoísta,Mi hermano es muy egoísta y nunca comparte su comida.,My brother is very selfish and never shares his food.,,
4,inolvidable,Nuestro viaje a México fue una experiencia inolvidable.,Our trip to Mexico was an unforgettable experience.,,
5,la cancha,Los niños juegan al básquetbol en la cancha del parque.,The kids play basketball on the court at the park.,,
6,vencer,"De niño, siempre vencía a mis amigos en ajedrez.","As a kid, I always used to beat my friends at chess.",Indicativo,Imperfecto
7,faltar,"Cuando era estudiante, faltaba mucho a clase.","When he was a student, he used to miss class a lot.",Indicativo,Imperfecto
8,emocionante,La película tuvo un final muy emocionante.,The movie had a very exciting ending.,,
9,la juventud,Pasó su juventud viajando por Europa.,He spent his youth traveling around Europe.,,
10,la ciencia,Ella estudia ciencia en la universidad.,She studies science at the university.,,
11,ansioso,Estoy ansioso por los resultados del examen.,I'm anxious about the exam results.,,
12,diseñar,"En la universidad, diseñábamos carteles para los eventos.","In college, we used to design posters for events.",Indicativo,Imperfecto
13,encantado,Estoy encantado de conocerte por fin.,I'm delighted to finally meet you.,,
14,borrar,Ella siempre borraba la pizarra al final de la clase.,She always used to erase the board at the end of class.,Indicativo,Imperfecto
15,prohibir,Mis padres me prohibían salir tarde de niño.,My parents used to prohibit me from staying out late as a kid.,Indicativo,Imperfecto
16,la asignatura,Mi asignatura favorita es la historia.,My favorite subject is history.,,
17,orgulloso,Estamos muy orgullosos de tu graduación.,We are very proud of your graduation.,,
18,estrecho,La calle es demasiado estrecha para dos coches.,The street is too narrow for two cars.,,
19,denunciar,Los vecinos denunciaban el ruido todas las noches.,The neighbors used to report the noise every night.,Indicativo,Imperfecto
20,renunciar,Ella renunciaba a sus vacaciones para ayudar a su familia.,She used to give up her vacations to help her family.,Indicativo,Imperfecto
21,sonreír,Yo sonreía mucho más cuando era niño.,I used to smile a lot more when I was a kid.,Indicativo,Imperfecto
22,la paciencia,Se necesita mucha paciencia para enseñar a niños pequeños.,It takes a lot of patience to teach small children.,,
23,hacia,Caminamos hacia el centro de la ciudad.,We walked toward downtown.,,
24,débil,El paciente todavía se siente muy débil.,The patient still feels very weak.,,
25,la bandera,Izaron la bandera durante la ceremonia.,They raised the flag during the ceremony.,,
26,la respuesta,No sé la respuesta correcta a esa pregunta.,I don't know the correct answer to that question.,,
27,el ciudadano,Todo ciudadano tiene derecho a votar.,Every citizen has the right to vote.,,
28,favorito,El azul es mi color favorito.,Blue is my favorite color.,,
29,hacer cola,La gente hacía cola desde temprano para el estreno.,People used to line up early for the premiere.,Indicativo,Imperfecto
30,el suceso,El periódico informó sobre el extraño suceso.,The newspaper reported on the strange event.,,
31,la calidad,Esta tienda vende ropa de muy buena calidad.,This store sells very good quality clothing.,,
32,aconsejar,Mi abuela siempre me aconsejaba ser paciente.,My grandmother always used to advise me to be patient.,Indicativo,Imperfecto
33,votar,Mis abuelos votaban siempre por la mañana.,My grandparents always used to vote in the morning.,Indicativo,Imperfecto
34,extranjero,Trabaja para una empresa extranjera.,She works for a foreign company.,,
35,ambicioso,Es un político muy ambicioso que quiere más poder.,He is a very ambitious/greedy politician who wants more power.,,
36,enorme,Compraron una casa enorme en las afueras.,They bought an enormous house in the suburbs.,,
37,sudar,Sudaba tanto en verano que cambiaba de camisa dos veces al día.,He used to sweat so much in summer that he changed shirts twice a day.,Indicativo,Imperfecto
38,perjudicar,Esa costumbre perjudicaba su rendimiento en el trabajo.,That habit used to harm his performance at work.,Indicativo,Imperfecto
39,aguantar,Aguantábamos el frío esperando el autobús.,We used to endure the cold while waiting for the bus.,Indicativo,Imperfecto
40,culpable,El jurado lo declaró culpable del crimen.,The jury found him guilty of the crime.,,
41,próximo,Nos vemos la próxima semana.,See you next week.,,
42,agotar,El viaje largo nos agotaba cada verano.,The long trip used to exhaust us every summer.,Indicativo,Imperfecto
43,útil,Este diccionario es muy útil para mis estudios.,This dictionary is very useful for my studies.,,
44,la risa,Se escuchaba la risa de los niños en el patio.,The children's laughter could be heard in the yard.,,
45,anciano,Ayudé a un señor anciano a cruzar la calle.,I helped an elderly man cross the street.,,
46,proponer,Ella siempre proponía ideas creativas en las reuniones.,She always used to propose creative ideas in meetings.,Indicativo,Imperfecto
47,la grasa,Esta comida tiene demasiada grasa.,This food has too much fat.,,
48,valorar,Mi padre valoraba mucho la puntualidad.,My father used to value punctuality a lot.,Indicativo,Imperfecto
49,el hogar,"Después de tantos viajes, extraño mi hogar.","After so much travel, I miss my home.",,
50,el empresario,El empresario abrió tres tiendas nuevas este año.,The businessman opened three new stores this year.,,
51,la carrera,Ella ganó la carrera de cien metros.,She won the hundred-meter race.,,
52,la huésped,La huésped llegó al hotel muy tarde por la noche.,The guest arrived at the hotel very late at night.,,
53,reconocer,Ella no reconocía a nadie después del accidente.,She didn't recognize anyone after the accident.,Indicativo,Imperfecto
54,el diccionario,Busqué la palabra en el diccionario.,I looked up the word in the dictionary.,,
55,acordarse,Nos acordábamos de esas vacaciones con mucho cariño.,We used to remember that vacation fondly.,Indicativo,Imperfecto
56,el nacimiento,Celebramos el nacimiento de su primer hijo.,We celebrated the birth of their first child.,,
57,rápido,Ese coche es muy rápido.,That car is very fast.,,
58,respirar,Respira profundamente antes de hablar en público.,Breathe deeply before speaking in public.,,
59,el servicio,El servicio en ese restaurante fue excelente.,The service at that restaurant was excellent.,,
60,descargar,Descargábamos películas antes de tener streaming.,We used to download movies before having streaming.,Indicativo,Imperfecto
61,el calor,No soporto el calor en agosto.,I can't stand the heat in August.,,
62,el patrimonio,Este castillo es parte del patrimonio cultural del país.,This castle is part of the country's cultural heritage.,,
63,levantar,Él levantaba a su hijo en brazos cada noche.,He used to lift his son in his arms every night.,Indicativo,Imperfecto
64,pelearse,"De niños, nos peleábamos por cualquier cosa.","As kids, we used to fight over anything.",Indicativo,Imperfecto
65,el género,El formulario pregunta por el género del solicitante.,The form asks for the applicant's gender.,,
66,soleado,Hoy es un día soleado y perfecto para la playa.,"Today is a sunny day, perfect for the beach.",,
67,el robo,Hubo un robo en el banco esta mañana.,There was a robbery at the bank this morning.,,
68,engordar,Ella engordaba cada invierno por comer más.,She used to gain weight every winter from eating more.,Indicativo,Imperfecto
69,familia,Mi familia se reúne todos los domingos.,My family gets together every Sunday.,,
70,pelear,Los vecinos peleaban por el ruido casi todas las semanas.,The neighbors used to fight over the noise almost every week.,Indicativo,Imperfecto
71,la muerte,La muerte de su abuelo lo afectó mucho.,His grandfather's death affected him deeply.,,
72,mentir,"De niño, mentía para evitar problemas.","As a kid, I used to lie to avoid trouble.",Indicativo,Imperfecto
73,salvaje,Vimos animales salvajes durante el safari.,We saw wild animals during the safari.,,
74,el perfil,Actualicé mi perfil en la red social.,I updated my profile on the social network.,,
75,la mayoria,La mayoría de los estudiantes aprobó el examen.,The majority of the students passed the exam.,,
76,el sueño,Su sueño es viajar por todo el mundo.,Her dream is to travel around the whole world.,,
77,la temporada,La temporada de lluvias empieza en junio.,Rainy season starts in June.,,
78,la contabilidad,Estudia contabilidad para ser contador.,He studies accounting to become an accountant.,,
79,el bienestar,Hacer ejercicio mejora tu bienestar general.,Exercising improves your overall well-being.,,
80,el técnico,El técnico reparó la lavadora en una hora.,The technician fixed the washing machine in an hour.,,
81,componer,Ella componía canciones desde muy joven.,She used to compose songs from a very young age.,Indicativo,Imperfecto
82,producir,Esta mina producía mucho más oro antes.,This mine used to produce much more gold before.,Indicativo,Imperfecto
83,el guion,El actor memorizó todo el guion en dos días.,The actor memorized the whole script in two days.,,
84,leal,Mi perro es muy leal a mí.,My dog is very loyal to me.,,
85,levantar pesas,Él levantaba pesas todos los días cuando era joven.,He used to lift weights every day when he was young.,Indicativo,Imperfecto
86,sugerir,Ella siempre sugería los mismos restaurantes.,She always used to suggest the same restaurants.,Indicativo,Imperfecto
87,la ruta,Cambiamos la ruta para evitar el tráfico.,We changed the route to avoid traffic.,,
88,el síntoma,La fiebre es un síntoma común de la gripe.,Fever is a common symptom of the flu.,,
89,la marca,Esa marca de zapatos es muy popular entre los jóvenes.,That shoe brand is very popular among young people.,,
90,el relato,El escritor publicó un relato corto sobre su infancia.,The writer published a short story about his childhood.,,
91,el ensayo,Tengo que entregar un ensayo de cinco páginas.,I have to turn in a five-page essay.,,
92,invertir,Él invertía en bolsa desde joven.,He used to invest in the stock market from a young age.,Indicativo,Imperfecto
93,activo,Mi abuela sigue muy activa a los ochenta años.,My grandmother is still very active at eighty.,,
94,el discurso,El presidente dio un discurso emotivo.,The president gave an emotional speech.,,
95,la alegría,La noticia le trajo mucha alegría a la familia.,The news brought great joy to the family.,,
96,el almacén,Guardamos las cajas en el almacén.,We store the boxes in the warehouse.,,
97,el folleto,Recogí un folleto con información turística.,I picked up a brochure with tourist information.,,
98,enojarse,Se enojaba fácilmente cuando era joven.,He used to get angry easily when he was young.,Indicativo,Imperfecto
99,el impuesto,Pagamos impuestos sobre nuestro salario cada mes.,We pay taxes on our salary every month.,,
100,tener prisa,Siempre teníamos prisa por las mañanas.,We were always in a hurry in the mornings.,Indicativo,Imperfecto
101,oscuro,La habitación estaba muy oscura sin luz.,The room was very dark without light.,,
102,el vecino,Mi vecino siempre riega las plantas del jardín.,My neighbor always waters the garden plants.,,
103,la medida,Tomé la medida de la ventana antes de comprar las cortinas.,I took the window's measurement before buying the curtains.,,
104,aburrirse,Nos aburríamos los domingos por la tarde.,We used to get bored on Sunday afternoons.,Indicativo,Imperfecto
105,adónde,¿Adónde vas con tanta prisa?,Where are you going in such a hurry?,,
106,graduarse,Nos graduábamos cada mayo en esa escuela.,We used to graduate every May at that school.,Indicativo,Imperfecto
107,sincero,Aprecio que seas tan sincero conmigo.,I appreciate that you're so sincere with me.,,
108,siguiente,"Por favor, pase al siguiente cliente.","Please, move on to the next customer.",,
109,la época,Esa canción me recuerda a mi época de estudiante.,That song reminds me of my student days.,,
110,sensible,Es un tema muy sensible para ella.,It's a very sensitive topic for her.,,
111,el origen,El origen de esta tradición es muy antiguo.,The origin of this tradition is very old.,,
112,el compromiso,Anunciaron su compromiso en la fiesta.,They announced their engagement at the party.,,
113,entrevistar,Entrevistaba a los candidatos personalmente.,She used to interview the candidates personally.,Indicativo,Imperfecto
114,apretado,Estos zapatos me quedan muy apretados.,These shoes are too tight on me.,,
115,disminuir,El dolor disminuía con cada pastilla.,The pain used to decrease with each pill.,Indicativo,Imperfecto
116,la pesadilla,Me desperté asustado después de una pesadilla.,I woke up scared after a nightmare.,,
117,normalmente,Normalmente ceno a las ocho de la noche.,I normally have dinner at eight at night.,,
118,la serie,Estamos viendo una nueva serie en la televisión.,We are watching a new series on television.,,
119,el cuento,Mi abuela me leía un cuento cada noche.,My grandmother read me a story every night.,,
120,cariñoso,Mi abuelo siempre fue muy cariñoso con nosotros.,My grandfather was always very affectionate with us.,,
121,esconder,Él escondía dulces debajo de la cama.,He used to hide candy under the bed.,Indicativo,Imperfecto
122,frecuentemente,Viajamos a Madrid frecuentemente por trabajo.,We travel to Madrid frequently for work.,,
123,sabio,Mi abuela siempre da consejos sabios.,My grandmother always gives wise advice.,,
124,el consejero,El consejero escolar me ayudó a elegir mis clases.,The school counselor helped me choose my classes.,,
125,la competencia,Hay mucha competencia entre estas dos empresas.,There is a lot of competition between these two companies.,,
126,el aire,Abramos la ventana para que entre aire fresco.,Let's open the window so fresh air comes in.,,
127,atraer,Esa tienda atraía a mucha gente los fines de semana.,That store used to attract a lot of people on weekends.,Indicativo,Imperfecto
128,el descuento,Compré la chaqueta con un descuento del veinte por ciento.,I bought the jacket with a twenty percent discount.,,
129,apreciar,Ella apreciaba mucho el arte moderno.,She used to appreciate modern art a lot.,Indicativo,Imperfecto
130,comprensivo,Mi jefe fue muy comprensivo cuando falté al trabajo.,My boss was very understanding when I missed work.,,
131,el pariente,Tengo parientes en Argentina que nunca he conocido.,I have relatives in Argentina I've never met.,,
132,alegrarse,Nos alegrábamos cada vez que él visitaba.,We used to be happy every time he visited.,Indicativo,Imperfecto
133,el informe,Tengo que terminar el informe antes del viernes.,I have to finish the report before Friday.,,
134,la administración de empresas,Ella estudia administración de empresas en la universidad.,She studies business administration at the university.,,
135,obedecer,"De niño, obedecía a mis padres sin quejarme.","As a kid, I used to obey my parents without complaining.",Indicativo,Imperfecto
136,la soledad,"Después de la mudanza, sintió mucha soledad.","After the move, he felt a lot of loneliness.",,
137,agradable,Pasamos una tarde muy agradable en el parque.,We had a very nice afternoon at the park.,,
138,el movimiento,Detecté un movimiento extraño detrás de la puerta.,I detected a strange movement behind the door.,,
139,sembrar,Mi abuelo sembraba flores todos los años.,My grandfather used to plant flowers every year.,Indicativo,Imperfecto
140,derramar,Él derramaba la leche cada vez que desayunaba.,He used to spill the milk every time he had breakfast.,Indicativo,Imperfecto
141,el argumento,No entendí el argumento principal de la película.,I didn't understand the movie's main plot/argument.,,
142,el comercio,El comercio entre los dos países creció mucho.,Trade between the two countries grew a lot.,,
143,tener hambre,Siempre teníamos hambre después de nadar.,We were always hungry after swimming.,Indicativo,Imperfecto
144,la química,La química es mi materia más difícil.,Chemistry is my hardest subject.,,
145,la ventanilla,Compré el boleto en la ventanilla de la estación.,I bought the ticket at the station window.,,
146,interpretar,Ella interpretaba canciones clásicas en el piano.,She used to play classical songs on the piano.,Indicativo,Imperfecto
147,la Tierra,La Tierra gira alrededor del sol.,The Earth revolves around the sun.,,
148,el alquiler,El alquiler del apartamento subió este mes.,The apartment's rent went up this month.,,
149,prevenir,Ese hábito prevenía muchos problemas de salud.,That habit used to prevent many health problems.,Indicativo,Imperfecto
